order,sparse6
18,:Qb@A`aa`hCDcEdFeGfGbG_HK_IL_JM
20,:ScAB`A`B`abjGIfIfHcIeGdH_JL_KO_MN
22,:Ua@``eCDaDbDbcalIKhKhJeKfIgJ_LN_MQ_OP
24,:Wa@``fDEcDcEbEaadbjLkLhJgMfMiK_PS_OQ_NR
24,:Wa@``fCDbDcEbEeaadkMlMhKiLfJgJ_PQ_NR_OS
24,:Wb@A`aa`eFcEdFbdcnKMlMjKhMiJgL_OP_NR_QS
24,:WbAdCcd``bGaHbEaF`fGeHcIdJkMlM_NO_PS_QR
26,:Yc@A`BaB`bagHeFdHfgcpMOlOlNiOjNkM_PR_QT_SU
26,:YcBfDecEbDaF`Ga`LaB`CgNfOhLiMeJdK_PQ_ST_RU
28,:[a@``eADcDbDabciJfHgJhierOQnQnPkQlPmO_RT_SV_UW
28,:[b@Aa``aiEFdGfGeHdHcHgbciOjPmOkQlQnP_RV_SU_TW
30,:]c@AaB`Ba`bkFJgIhIhJdIeJfgckSlSnQmRoQpR_VW_UX_TY
30,:]eDaBD`CEjHidHeIaJ`KbcPaC`BjPkQiRhSmNlO_TV_UW_XY
30,:]dAB``B`AbCaCclHKiKfJgJdeekqSrSlPmPnQoR_XY_UV_TW
30,:]b@`Aaa`bEeFdFbdckLhJiLjkgtQSpSpRmSnRoQ_TV_UX_WY
30,:]d@BaaBbCaC`C`lGKiKhJfJdeekrSqSlPmPnQoR_XY_TV_UW
32,:_a@`d@bCaCcbaddmHLiLhJiKgJgKlefqTrUoSpSmTnU_VX_WY_Z[
32,:_dAB`CaC`Ba`bcmHLiLhKiJfJgKldemTnUoSpSrTqU_VW_XZ_Y[
32,:_d@A`CaCbCabb`mHLjLiKjKgLfIhdeoTpUrSnSmTqU_VX_WY_Z[
32,:_cB`A`BaB`acHeHfGcgdmNjLkNlmivSUrUrToUpTqS_VX_WZ_Y[
34,:ab?_[CHBAP?kGJ@@oWkI_KFrP{g^GEqPsk\KbPyX]gWidiP]aUgEG@gv?KfW@o|
34,:a`?WKEKC`@W_UED`OwomOJcagsiNOGrP{wbNgRJHWpTKTQ|GpRJtAs?qZ_Ebk?w]
34,:a`_gKIAD`OWWaGF`pGkYRIFpxCk\KEqxdCjQJRq|?pLIratChQHoBXq?YMoBHz
36,:c`?WSEFCapgWaGFap`[IBKEqpsu\GGpqSeTTjTz@eeYiEYH]cWfdY@Y?\NOBX}?[O^
36,:c`_OSEDA_pW_YKFa`wcMOLdbXOqPKcsa[{bOHsYSyuWLTrT[rSLTRLWp?LfW@o~?NGN
36,:ca?OSCFA@oW[IUFCQgweOHaagoiHREchpI]PgCX[qXQkej@ieViDyhakX_FsC?u\_FBv
36,:c`_OSIBA_qO_aIEbaGoaHD`pyOsbMGraCs^JFrADERIhEYXigWieIpemY_Erc?{^_FSF
36,:c`?W_EK@c?_[SNABp?{KLDBOwkQcMGsAKkbIFrQCo^McqIpeiYjeI`eeWhEg@oz?Lfw@x@
36,:ca?OSGF@@ogKMUFCQgweOHaagoiHREchpI]PgCX[qXQkEjHieViDyhakX_FsC?u\_FBv
